id,graph_category,qwen_score,pixtral_score,idefics_score,summary_score,rag_solution_score
000061,statistical,0.7212244,0.6781603,0.6542644,0.66220444,0.6835534
000062,statistical,0.7151259,0.7102457,0.7402503,0.7076653,0.7308382
000063,statistical,0.6979084,0.7331798,0.7670443,0.73247784,0.7310412
000064,statistical,0.68424016,0.7373916,0.76279855,0.7258885,0.72645515
000065,statistical,0.7165906,0.6978586,0.71312547,0.7162003,0.7228713
000066,statistical,0.7371962,0.751282,0.7614496,0.73616046,0.73372906
000067,statistical,0.69287705,0.75404346,0.7354427,0.73701906,0.7361049
000069,statistical,0.6318613,0.5985697,0.6570064,0.6261917,0.6947877
000070,statistical,0.6130113,0.6256804,0.659633,0.5920755,0.6361405
000071,statistical,0.6388228,0.65378785,0.74776566,0.6928126,0.70211405
000072,statistical,0.6568463,0.65947425,0.72187203,0.68026423,0.68932927
000073,statistical,0.7007142,0.6672,0.66417146,0.67504513,0.6766627
000074,statistical,0.6729036,0.6547853,0.6643637,0.65060616,0.6730948
000075,statistical,0.64120245,0.69612443,0.69513667,0.6387869,0.67250085
000076,statistical,0.6701488,0.71175706,0.70946455,0.6568453,0.732101
000077,statistical,0.6612621,0.70790666,0.7307471,0.6434715,0.7040698
000078,statistical,0.68036634,0.71968335,0.70250833,0.6751961,0.7417399
000079,statistical,0.63320273,0.62657404,0.65882355,0.62571114,0.68122447
000080,statistical,0.61249,0.69068056,0.6624275,0.6364813,0.6773755
000081,statistical,0.6501331,0.68043315,0.67846966,0.63962054,0.6991205
000082,statistical,0.69078803,0.6700623,0.72464705,0.70196414,0.71450347
000083,statistical,0.6881836,0.651897,0.73573965,0.69633436,0.7099827
000084,statistical,0.67242193,0.7107334,0.7458473,0.72814876,0.6965369
000085,statistical,0.7271436,0.73816395,0.76768726,0.7354894,0.7154656
000086,statistical,0.7035147,0.7595712,0.77175283,0.7502045,0.747113
000087,statistical,0.7178337,0.71384263,0.73362124,0.7023136,0.7407479
000088,statistical,0.7382591,0.7242475,0.78360623,0.7209549,0.7451058
000089,statistical,0.7025024,0.73944247,0.7751194,0.722733,0.75417393
000090,statistical,0.6799772,0.7176653,0.7294204,0.71687996,0.7530105
000091,statistical,0.7282236,0.7469783,0.7953842,0.7505802,0.75240374
000092,statistical,0.6821813,0.7310998,0.7622689,0.73956126,0.7387917
000093,statistical,0.69423264,0.700539,0.7446041,0.7193534,0.7046567
000094,statistical,0.74045205,0.78562,0.73677886,0.72876793,0.7594
000095,statistical,0.7544522,0.75890577,0.7638192,0.74751455,0.76354337
000096,statistical,0.6483827,0.62366474,0.669401,0.65291834,0.68367594
000097,statistical,0.64558786,0.603017,0.65258044,0.6230774,0.6422735
000098,statistical,0.6568845,0.69493854,0.6618352,0.65021944,0.7391951
000099,statistical,0.69687563,0.7032556,0.7005918,0.6993548,0.7027094
000100,statistical,0.6624475,0.69192255,0.6806407,0.67643636,0.67798597
000101,statistical,0.722023,0.6801629,0.728742,0.68628794,0.6924051
000102,statistical,0.6654417,0.68198764,0.6970967,0.68681216,0.7259451
000103,statistical,0.682834,0.6810292,0.6928768,0.6862927,0.70416015
000104,statistical,0.68020153,0.6917187,0.73403066,0.71319854,0.68701065
000105,statistical,0.67797315,0.6698726,0.69691646,0.6514349,0.6793513
000106,statistical,0.6751828,0.64290994,0.71462715,0.6403057,0.6552578
000107,statistical,0.6863593,0.6936864,0.72260356,0.693512,0.72287333
000108,statistical,0.66916245,0.6438715,0.7150849,0.6596946,0.702137
000109,statistical,0.64745027,0.6357401,0.6704471,0.67028606,0.6272793
000110,statistical,0.6532908,0.6321737,0.6918663,0.63613266,0.6806901
000111,statistical,0.6260075,0.6277778,0.6988782,0.61824983,0.66389126
000112,statistical,0.66353106,0.64779365,0.7411172,0.7111042,0.7059585
000113,statistical,0.630389,0.64768714,0.647094,0.6579966,0.67895776
000114,statistical,0.69887793,0.6892879,0.6764284,0.6630494,0.7091388
000115,statistical,0.72080505,0.69461566,0.67347014,0.69223946,0.7136909
000116,statistical,0.6712764,0.6749526,0.6597582,0.59825194,0.7301218
000117,statistical,0.6874005,0.64801145,0.67150587,0.66636765,0.6855802
000118,statistical,0.6521592,0.6575978,0.7052204,0.6780619,0.7247731
000119,statistical,0.6303069,0.71293265,0.69131327,0.64021003,0.7114477
000120,statistical,0.7082232,0.65019387,0.68495584,0.6534003,0.70131105
000121,statistical,0.6310685,0.663565,0.6879289,0.66158116,0.70243156
000122,statistical,0.701316,0.6772051,0.7014701,0.6763726,0.66556317
000123,statistical,0.6342313,0.6817213,0.68480676,0.6580946,0.71636504
000124,statistical,0.65876114,0.66851676,0.7219733,0.70363986,0.6890047
000125,statistical,0.66651434,0.6161353,0.67482716,0.67956126,0.6375356
000126,statistical,0.6666473,0.66653615,0.6757499,0.63025564,0.6567657
000127,statistical,0.6462689,0.6012681,0.6479711,0.647832,0.6433223
000128,statistical,0.6325505,0.6275306,0.63421017,0.63633734,0.6824522
000129,statistical,0.66574705,0.6333166,0.642471,0.6550428,0.69743496
000130,statistical,0.6429285,0.6371093,0.67125064,0.67236036,0.6625735
000131,statistical,0.6798231,0.68337846,0.6416264,0.6842242,0.70556325
000132,statistical,0.6774752,0.6270684,0.6635867,0.63803697,0.6313876
000133,statistical,0.66996604,0.66229004,0.6335074,0.6736926,0.65991926
000134,statistical,0.6746439,0.66752833,0.68554664,0.6798891,0.6887384
000135,statistical,0.6844965,0.65306157,0.6713878,0.6488806,0.68866587
000136,statistical,0.7284069,0.65465266,0.69106555,0.6587386,0.69164205
000137,statistical,0.72533715,0.6709912,0.6914681,0.7100347,0.6971519
000138,statistical,0.6797396,0.6954783,0.72703224,0.7228942,0.7158104
000139,statistical,0.702918,0.69585294,0.75626785,0.7377096,0.7269925
000140,statistical,0.68194336,0.6842082,0.7612046,0.74864835,0.72966546
000141,statistical,0.6949248,0.69507056,0.7518275,0.7046073,0.71401167
000142,statistical,0.66885966,0.6588677,0.6752733,0.6746652,0.6991855
000143,statistical,0.6484967,0.673635,0.73188347,0.70300937,0.7036448
000144,statistical,0.7013555,0.66003054,0.75067574,0.7125391,0.71577007
000145,statistical,0.7161198,0.7092217,0.7655826,0.7134092,0.6992032
000146,statistical,0.6842874,0.723174,0.73206824,0.7101349,0.75974756
000147,statistical,0.67723364,0.6639681,0.6544673,0.66460735,0.67213994
000148,statistical,0.66303104,0.64756906,0.693723,0.7119929,0.7168788
000149,statistical,0.7317086,0.712544,0.7147508,0.68602186,0.7117548
000150,statistical,0.7081866,0.71688586,0.6972206,0.6963282,0.7255596
000151,statistical,0.6976165,0.70419097,0.73539996,0.7352392,0.72312033
000152,statistical,0.7095898,0.68028295,0.7096074,0.7046159,0.70721334
000153,statistical,0.68898636,0.68550754,0.67786485,0.67585117,0.6377057
000154,statistical,0.6689012,0.67546964,0.6667112,0.65321076,0.73324394
000155,statistical,0.7121735,0.65212494,0.6821968,0.67903644,0.7436026
000160,statistical,0.6393194,0.6366938,0.7074196,0.6828121,0.6696318
000161,statistical,0.626214,0.6352789,0.67200524,0.60182536,0.6526912
000162,statistical,0.64122826,0.658139,0.7310595,0.65908426,0.6766711
000163,statistical,0.6439093,0.64199513,0.6665872,0.6038054,0.6271967
000164,statistical,0.6641749,0.6748389,0.7030061,0.6745821,0.698278
000165,statistical,0.65836906,0.6596193,0.6788412,0.65712786,0.6733507
000166,statistical,0.6183565,0.63494015,0.6496617,0.6571588,0.683438
000167,statistical,0.6832843,0.66767234,0.67649937,0.65934294,0.71419907
000168,statistical,0.69665825,0.69636595,0.69507205,0.6756889,0.6893037
000169,statistical,0.66575897,0.6806123,0.6638098,0.6497312,0.7310505
000170,statistical,0.655768,0.671115,0.67384404,0.659186,0.69802755
000171,statistical,0.71748435,0.65743977,0.6859796,0.6337571,0.68805546
000172,statistical,0.6708032,0.72458786,0.7203026,0.6233189,0.7071689
000173,statistical,0.6617168,0.6713786,0.6612855,0.6725508,0.6972711
000174,statistical,0.6565855,0.62909025,0.6673169,0.666427,0.69613934
000175,statistical,0.6454275,0.64459515,0.6867387,0.653826,0.7152112
000176,statistical,0.6861835,0.6486686,0.72623575,0.6922418,0.67606395
000177,statistical,0.6813472,0.67605156,0.6572272,0.6851846,0.6904744
000178,statistical,0.695251,0.6695154,0.6588598,0.68798614,0.69732046
000179,statistical,0.6554593,0.67311436,0.69535345,0.6722537,0.65325946
000180,statistical,0.68669295,0.7047921,0.7473499,0.68197465,0.7497847
000181,statistical,0.6812645,0.7011823,0.7293307,0.6711131,0.7111564
000182,statistical,0.698762,0.66584396,0.72573066,0.7005005,0.71710294
000183,statistical,0.7399601,0.7295242,0.77563584,0.76298183,0.7509078
000184,statistical,0.73713666,0.7522878,0.7686809,0.74016744,0.7422895
000185,statistical,0.7160007,0.7056904,0.70496356,0.69504356,0.7183892
000186,statistical,0.6879415,0.73397595,0.7780965,0.73099893,0.7229665
000187,statistical,0.7179965,0.7224316,0.76027435,0.7123256,0.7164852
000188,statistical,0.6583891,0.64723533,0.7055724,0.6897743,0.6873755
000189,statistical,0.6762314,0.67129844,0.70095974,0.64782345,0.6969148
000190,statistical,0.67350113,0.71081346,0.70835614,0.6901176,0.7239466
000191,statistical,0.6453437,0.6838898,0.63767576,0.6218826,0.6884164
000192,statistical,0.6578993,0.64524865,0.6684713,0.68612885,0.67788446
000193,statistical,0.7138034,0.68720996,0.6979599,0.67965376,0.716224
000194,statistical,0.7093837,0.7051937,0.69874215,0.71877956,0.69611627
000195,statistical,0.7146006,0.6894931,0.69040596,0.69973445,0.71160847
000196,statistical,0.7066083,0.6953957,0.69384056,0.6607417,0.7038614
000197,statistical,0.64355844,0.67360854,0.7207182,0.6635054,0.70563394
000198,statistical,0.6586084,0.66546404,0.76026523,0.72038895,0.66694784
000199,statistical,0.67317766,0.7100067,0.7048327,0.7054129,0.72086525
000204,statistical,0.649346,0.66652435,0.68165576,0.6999442,0.6878324
000205,statistical,0.67820495,0.63314205,0.6888336,0.64244056,0.6617877
000206,statistical,0.6247883,0.61591774,0.6870533,0.65139693,0.6606461
000207,statistical,0.61719847,0.614484,0.660945,0.6665062,0.6331875
000208,statistical,0.60272646,0.5982833,0.6913312,0.66422004,0.66489977
000209,statistical,0.6260353,0.62128425,0.71843576,0.6249114,0.66052985
000210,statistical,0.6343995,0.6936897,0.6660511,0.6445367,0.7221832
000211,statistical,0.66316086,0.66764134,0.7407646,0.72529155,0.71140945
000212,statistical,0.6385664,0.6841343,0.66823083,0.6787371,0.6600538
000213,statistical,0.688684,0.65919167,0.74413866,0.69541895,0.6762851
000214,statistical,0.6611649,0.6886003,0.65117407,0.668988,0.7090524
000215,statistical,0.67201734,0.6298301,0.6145768,0.6244026,0.68836576
000216,statistical,0.6688863,0.64399487,0.6769067,0.7141036,0.698343
000217,statistical,0.57903296,0.6534962,0.64174926,0.63909256,0.68546057
000218,statistical,0.67232025,0.66516745,0.67524123,0.6736647,0.69148666
000219,statistical,0.69021463,0.6690044,0.6827548,0.68713766,0.67070895
000220,statistical,0.7260074,0.68223906,0.69063026,0.67148757,0.6747952
000221,statistical,0.7197647,0.7064205,0.69826126,0.6794338,0.7351333
000222,statistical,0.7146491,0.7155503,0.6870913,0.6893958,0.7109696
000226,statistical,0.6544889,0.6376742,0.7054862,0.68455184,0.66915256
000227,statistical,0.6660822,0.63281286,0.669226,0.6755002,0.673471
000228,statistical,0.6330568,0.6423258,0.70380133,0.67052394,0.69982314
000229,statistical,0.665124,0.67553,0.6988707,0.676845,0.682331
000230,statistical,0.6493471,0.6434118,0.69233644,0.650043,0.6573697
000231,statistical,0.6808598,0.6772761,0.6802748,0.6659344,0.65698373
000232,statistical,0.7129194,0.67250025,0.711703,0.6819085,0.70831436
000233,statistical,0.68532425,0.6851225,0.7343595,0.67169577,0.7028255
000234,statistical,0.65030736,0.72053295,0.6811879,0.6198283,0.6798502
000235,statistical,0.7024376,0.68288183,0.7322225,0.68862563,0.6983169
000236,statistical,0.71993005,0.64952624,0.71351045,0.6878397,0.68477774
000237,statistical,0.66121554,0.70407283,0.6994854,0.63720524,0.7409157
000238,statistical,0.7059668,0.70927113,0.7203549,0.6465125,0.7313402
000239,statistical,0.7196185,0.71555746,0.70911247,0.69161654,0.7247027
000240,statistical,0.71745014,0.71916735,0.70788586,0.61023307,0.71937907
000241,statistical,0.6822461,0.7048597,0.66506815,0.6775518,0.72067785
000242,statistical,0.71313184,0.69304734,0.68787605,0.6951619,0.69795185
000243,statistical,0.68561715,0.69704026,0.68417776,0.6846275,0.7123101
000244,statistical,0.68246895,0.6875099,0.6776883,0.64646536,0.6935809
000245,statistical,0.64025426,0.67817783,0.66076505,0.64193314,0.67202103
000246,statistical,0.7005355,0.71063006,0.6664067,0.64069945,0.68111193
000247,statistical,0.67391866,0.65403247,0.6475551,0.63875777,0.7031417
000248,statistical,0.6946067,0.67482185,0.6699956,0.68572766,0.69073313
000249,statistical,0.66095155,0.63736683,0.660805,0.6673813,0.66152066
000250,statistical,0.70672697,0.71521527,0.6775591,0.65892243,0.7044748
000251,statistical,0.7118611,0.6956593,0.67202055,0.66940075,0.68683153
000252,statistical,0.69370043,0.6863027,0.6667014,0.673203,0.7049925
000253,statistical,0.70745885,0.68634474,0.6551062,0.6774074,0.686888
000254,statistical,0.6706144,0.65401185,0.7346682,0.7377915,0.6972115
000255,statistical,0.6873866,0.7289676,0.76920635,0.75302243,0.7339094
000256,statistical,0.7053149,0.7491923,0.77476543,0.7499246,0.7661937
000257,statistical,0.6890209,0.68115234,0.7389441,0.6770529,0.7271387
000258,statistical,0.7109202,0.7412784,0.78524953,0.76888,0.77494025
000259,statistical,0.71283007,0.7592312,0.76140666,0.76601374,0.77429074
000260,statistical,0.6884478,0.68920463,0.7211507,0.6804879,0.69897634
000261,statistical,0.68709344,0.7202226,0.772571,0.7361604,0.74867797
000262,statistical,0.7592914,0.7462352,0.76306415,0.768883,0.7788739
000263,statistical,0.646639,0.6641873,0.7021781,0.6876478,0.6791703
000264,statistical,0.70766145,0.69028634,0.69353807,0.6757433,0.6902435
000265,statistical,0.6766187,0.6906608,0.71032536,0.665246,0.70696455
000269,statistical,0.66896266,0.6725406,0.7402467,0.7105092,0.6955868
000270,statistical,0.64900774,0.63944376,0.7035344,0.70911187,0.69883
000271,statistical,0.68469596,0.6993136,0.76250076,0.70191103,0.72032845
000272,statistical,0.6919796,0.7028462,0.7419341,0.7229985,0.7090586
000273,statistical,0.7165955,0.7194627,0.7291639,0.73970455,0.73583126
000274,statistical,0.73951983,0.688086,0.76506037,0.6928058,0.7262169
000275,statistical,0.65656215,0.6877828,0.74113506,0.7143973,0.7128974
000276,statistical,0.7114193,0.71930784,0.7355592,0.73923045,0.73407155
000277,statistical,0.7109754,0.6712021,0.76269406,0.71012217,0.71278256
000278,statistical,0.67462784,0.7405929,0.71915454,0.6950426,0.72237957
000279,statistical,0.64059895,0.6715322,0.70352304,0.6889175,0.72308683
000280,statistical,0.7098522,0.65917206,0.72787,0.67515033,0.71375406
000281,statistical,0.6710179,0.692307,0.7146562,0.6979287,0.70919317
000282,statistical,0.7022964,0.6772775,0.6910141,0.7001502,0.7015664
000283,statistical,0.6914176,0.7093108,0.7457052,0.71933216,0.71886766
000284,statistical,0.7071575,0.69913244,0.73196864,0.7248576,0.7156326
000285,statistical,0.706219,0.70721966,0.75348186,0.7235353,0.7168714
000286,statistical,0.72214,0.71309775,0.7027386,0.70553476,0.72426385
000287,statistical,0.69356257,0.69348794,0.72099054,0.705379,0.7208065
000288,statistical,0.68660235,0.7025366,0.67820454,0.6787873,0.71169615
000289,statistical,0.6926743,0.65480924,0.729478,0.68645096,0.7158081
000290,statistical,0.6674251,0.70797026,0.68221503,0.68715453,0.7039477
000291,statistical,0.73074657,0.69960505,0.71968836,0.6895598,0.7281876
000292,statistical,0.71998674,0.69282544,0.670177,0.66953,0.7349873
000293,statistical,0.6358633,0.6569387,0.7266402,0.6782738,0.62836164
000294,statistical,0.60539144,0.60320085,0.66758263,0.6611648,0.6260485
000295,statistical,0.6524329,0.6655214,0.71869063,0.62118495,0.68300885
000296,statistical,0.65439373,0.6588823,0.71994036,0.6594444,0.66568786
000297,statistical,0.6578705,0.657876,0.604586,0.61700827,0.65411216
000298,statistical,0.6593448,0.6589665,0.70029104,0.6594121,0.6726381
000299,statistical,0.6460452,0.6639227,0.6737122,0.6731914,0.6729239
000300,statistical,0.68762195,0.6939845,0.6343261,0.6492325,0.66422397
000301,statistical,0.6241777,0.62656426,0.6555505,0.63578564,0.6889322
000302,statistical,0.67157185,0.6657305,0.63844824,0.6416652,0.70377165
000303,statistical,0.6770316,0.66418546,0.65731865,0.64457256,0.6889742
000304,statistical,0.69654953,0.67121524,0.6912231,0.64469475,0.65773696
000306,statistical,0.6894954,0.6779652,0.7463068,0.7065969,0.6550374
000307,statistical,0.67602897,0.642507,0.728119,0.7417592,0.65299076
000308,statistical,0.64766496,0.67017037,0.7299937,0.694979,0.65292627
000309,statistical,0.6918167,0.6919522,0.7276168,0.691917,0.6796669
000310,statistical,0.7115316,0.6753066,0.7463137,0.73472404,0.6909659
000311,statistical,0.72548574,0.6604516,0.7297233,0.6682319,0.69606054
000312,statistical,0.6760599,0.6772017,0.6897747,0.65463346,0.72584647
000313,statistical,0.6445711,0.66827637,0.7057147,0.70161575,0.69806546
000314,statistical,0.68125904,0.6774687,0.6902537,0.67005795,0.67605275
000315,statistical,0.70614135,0.68654954,0.63371813,0.6445986,0.6860949
000316,statistical,0.6839115,0.6926503,0.6819103,0.6592219,0.6966334
000317,statistical,0.7022296,0.6905702,0.6765927,0.6672544,0.670886
000318,statistical,0.7110318,0.65737337,0.6830789,0.6701975,0.7047034
000319,statistical,0.69025797,0.6914994,0.67500323,0.6820808,0.66881156
000320,statistical,0.65576065,0.681011,0.69493836,0.6679063,0.67355555
000321,statistical,0.66050357,0.6668671,0.72342265,0.697129,0.72598594
000322,statistical,0.62634945,0.6608124,0.7110736,0.6527999,0.66949755
000323,statistical,0.6356949,0.638508,0.7231898,0.67030436,0.6724878
000324,statistical,0.6184722,0.5999869,0.6797868,0.5993611,0.63110656
000325,statistical,0.6992494,0.69229543,0.7274526,0.6845873,0.7219933
000326,statistical,0.65803033,0.7027426,0.6757238,0.6914802,0.7126394
000327,statistical,0.65831536,0.6861104,0.756283,0.6600982,0.71158075
000328,statistical,0.70298976,0.6645329,0.69283414,0.67985535,0.70486164
000329,statistical,0.67864406,0.6111997,0.67003995,0.6631603,0.6766605
000330,statistical,0.6328689,0.6954663,0.69728696,0.70099396,0.7247437
000331,statistical,0.66159487,0.65403306,0.697479,0.66920424,0.70356715
000332,statistical,0.6228149,0.62840104,0.6781869,0.5863081,0.6852519
000333,statistical,0.6625581,0.66566044,0.701977,0.7036788,0.69008136
000334,statistical,0.69639486,0.69854826,0.6850576,0.7050711,0.6906265
000335,statistical,0.6865111,0.6885145,0.64416564,0.67211264,0.7113791
000336,statistical,0.6866585,0.67783105,0.6598235,0.6582496,0.716824
000337,statistical,0.6881953,0.67451197,0.7168973,0.70095205,0.6653176
000338,statistical,0.6629052,0.6646789,0.65136427,0.6643956,0.68782395
000339,statistical,0.6570022,0.66824573,0.6983789,0.6900285,0.6604857
000340,statistical,0.67579985,0.6376157,0.7001786,0.69403356,0.70639896
000341,statistical,0.6827743,0.67921257,0.68488014,0.6651216,0.6840302
000342,statistical,0.6960432,0.68610126,0.6718402,0.7080933,0.6841552
000343,statistical,0.6416189,0.6667685,0.64925396,0.6307062,0.6696634
000344,statistical,0.6815253,0.6706635,0.6756167,0.6907001,0.71153796
000345,statistical,0.7304876,0.6886521,0.6843406,0.6903529,0.7201983
000346,statistical,0.72391844,0.6728215,0.6750046,0.6523441,0.7169942
000347,statistical,0.7297073,0.6773495,0.6781532,0.675716,0.69971853
000348,statistical,0.7408055,0.72978336,0.69486046,0.699283,0.7383815
000349,statistical,0.71736395,0.7000238,0.6987383,0.70712984,0.7404598
000350,statistical,0.7493663,0.7702012,0.79167795,0.7917836,0.77895695
000351,statistical,0.75348085,0.77456635,0.780362,0.7610497,0.78888404
000352,statistical,0.66109455,0.69944096,0.71930146,0.6909061,0.6893206
000353,statistical,0.69140506,0.69961345,0.724335,0.720428,0.7496747
000354,statistical,0.70862526,0.7291157,0.74793273,0.75333136,0.72956055
000355,statistical,0.68066436,0.67662144,0.7168729,0.69807607,0.70943624
000356,statistical,0.7468629,0.7571645,0.77944744,0.7526274,0.7257475
000357,statistical,0.7344495,0.73476726,0.7772058,0.74068296,0.7246598
000358,statistical,0.70249087,0.69455683,0.6874598,0.68488497,0.7208129
000359,statistical,0.73148686,0.6985203,0.72396594,0.68107975,0.7241248
000360,statistical,0.7187975,0.70493776,0.72681886,0.72106194,0.7027362
000361,statistical,0.6917473,0.6965391,0.7008483,0.689299,0.6738126
000362,statistical,0.71747535,0.7009699,0.6873476,0.682556,0.6723461
000363,statistical,0.7061527,0.6552538,0.7273255,0.7130673,0.6901811
000364,statistical,0.70177466,0.6743793,0.70226514,0.6829376,0.6806332
000365,statistical,0.6943677,0.65415657,0.69663876,0.713222,0.6786521
000366,statistical,0.70812446,0.6849868,0.6984639,0.6379765,0.68796307
000367,statistical,0.7100089,0.6697566,0.68239343,0.65056276,0.6914378
000368,statistical,0.66877407,0.68110967,0.6982793,0.6457899,0.66469795
000369,statistical,0.64968544,0.67994815,0.7160552,0.6855374,0.66735303
000374,statistical,0.60738176,0.60959154,0.69778043,0.63938427,0.6627392
000375,statistical,0.6441933,0.5996672,0.67611295,0.65503573,0.63495046
000376,statistical,0.6717337,0.67267245,0.709224,0.6967394,0.69107544
000377,statistical,0.72529185,0.6851946,0.6624784,0.68349004,0.7213263
000378,statistical,0.6425633,0.67403746,0.7276248,0.6823173,0.74515396
000379,statistical,0.6596613,0.6206586,0.7419656,0.7375456,0.724122
000380,statistical,0.6891386,0.68871653,0.7699642,0.72547853,0.7206967
000381,statistical,0.68317336,0.6880372,0.7104339,0.70191485,0.6931541
000382,statistical,0.6381011,0.6829124,0.69942665,0.68333954,0.75102884
000383,statistical,0.69327843,0.6634133,0.73444307,0.6742391,0.7237583
000384,statistical,0.6906043,0.67250246,0.67342836,0.6678738,0.69150877
000385,statistical,0.72360504,0.68718415,0.72399807,0.73515576,0.6925321
000386,statistical,0.69227546,0.66827804,0.6929535,0.7105297,0.6955287
000387,statistical,0.6816615,0.6910615,0.693262,0.6946463,0.7030884
000388,statistical,0.63421917,0.65542597,0.7108687,0.65855896,0.671264
000389,statistical,0.68629307,0.67590934,0.71192235,0.6556663,0.69523925
000390,statistical,0.70849466,0.7031141,0.7581297,0.67998177,0.7141298
000391,statistical,0.7051462,0.7009117,0.7317973,0.71896833,0.74922585
000392,statistical,0.72716933,0.7369567,0.70942336,0.7118473,0.73842704
000393,statistical,0.65982896,0.6538585,0.70916486,0.68021166,0.7237211
000394,statistical,0.7030582,0.66057515,0.7319172,0.7313754,0.7238334
000395,statistical,0.6931236,0.6768572,0.74747694,0.6896716,0.69726497
000396,statistical,0.67408985,0.69596064,0.73994195,0.7122375,0.73133826
000397,statistical,0.7034463,0.71733475,0.7458715,0.70478517,0.7418438
000398,statistical,0.6990536,0.67423975,0.70771086,0.6553007,0.7020475
000399,statistical,0.688066,0.69920504,0.7063386,0.6881775,0.66199696
000400,statistical,0.6763293,0.65676504,0.6988309,0.69486946,0.6766848
000401,statistical,0.71179026,0.6431056,0.69202894,0.62536246,0.6799858
000402,statistical,0.709448,0.67372257,0.6714093,0.69108886,0.6466984
